source_file,row_type,year,branch,period,period_type,month_number,sales_amount
REP_S_00134_SMRY.csv,branch,2025,Stories Event Starco,september,month,9,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories Event Starco,october,month,10,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories Event Starco,november,month,11,6606.61
REP_S_00134_SMRY.csv,branch,2025,Stories Event Starco,december,month,12,586645.65
REP_S_00134_SMRY.csv,branch,2025,Stories Event Starco,total_by_year,year_total,,597312.31
REP_S_00134_SMRY.csv,branch,2025,Stories Faqra,january,month,1,1889910.0
REP_S_00134_SMRY.csv,branch,2025,Stories Faqra,february,month,2,1829960.0
REP_S_00134_SMRY.csv,branch,2025,Stories Faqra,march,month,3,1479756.67
REP_S_00134_SMRY.csv,branch,2025,Stories Faqra,april,month,4,2298003.33
REP_S_00134_SMRY.csv,branch,2025,Stories Faqra,may,month,5,1109666.67
REP_S_00134_SMRY.csv,branch,2025,Stories Faqra,june,month,6,352083.33
REP_S_00134_SMRY.csv,branch,2025,Stories Faqra,july,month,7,482036.04
REP_S_00134_SMRY.csv,branch,2025,Stories Faqra,august,month,8,1535977.47
REP_S_00134_SMRY.csv,branch,2025,Stories Faqra,september,month,9,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories Faqra,october,month,10,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories Faqra,november,month,11,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories Faqra,december,month,12,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories Faqra,total_by_year,year_total,,10977393.51
REP_S_00134_SMRY.csv,branch,2025,Stories jbeil,january,month,1,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories jbeil,february,month,2,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories jbeil,march,month,3,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories jbeil,april,month,4,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories jbeil,may,month,5,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories jbeil,june,month,6,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories jbeil,july,month,7,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories jbeil,august,month,8,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories jbeil,september,month,9,2402935.0
REP_S_00134_SMRY.csv,branch,2025,Stories jbeil,october,month,10,10218320.22
REP_S_00134_SMRY.csv,branch,2025,Stories jbeil,november,month,11,7848030.44
REP_S_00134_SMRY.csv,branch,2025,Stories jbeil,december,month,12,6692888.56
REP_S_00134_SMRY.csv,branch,2025,Stories jbeil,total_by_year,year_total,,27162174.22
REP_S_00134_SMRY.csv,branch,2025,Stories kaslik,january,month,1,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories kaslik,february,month,2,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories kaslik,march,month,3,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories kaslik,april,month,4,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories kaslik,may,month,5,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories kaslik,june,month,6,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories kaslik,july,month,7,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories kaslik,august,month,8,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories kaslik,september,month,9,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories kaslik,october,month,10,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories kaslik,november,month,11,1237539.34
REP_S_00134_SMRY.csv,branch,2025,Stories kaslik,december,month,12,1583014.42
REP_S_00134_SMRY.csv,branch,2025,Stories kaslik,total_by_year,year_total,,2820553.76
REP_S_00134_SMRY.csv,branch,2025,Stories Khaldeh,january,month,1,7468155.33
REP_S_00134_SMRY.csv,branch,2025,Stories Khaldeh,february,month,2,6108429.33
REP_S_00134_SMRY.csv,branch,2025,Stories Khaldeh,march,month,3,6420841.0
REP_S_00134_SMRY.csv,branch,2025,Stories Khaldeh,april,month,4,8455732.0
REP_S_00134_SMRY.csv,branch,2025,Stories Khaldeh,may,month,5,4487117.67
REP_S_00134_SMRY.csv,branch,2025,Stories Khaldeh,june,month,6,2262395.0
REP_S_00134_SMRY.csv,branch,2025,Stories Khaldeh,july,month,7,9464291.92
REP_S_00134_SMRY.csv,branch,2025,Stories Khaldeh,august,month,8,10661995.53
REP_S_00134_SMRY.csv,branch,2025,Stories Khaldeh,september,month,9,7859844.17
REP_S_00134_SMRY.csv,branch,2025,Stories Khaldeh,october,month,10,7348415.03
REP_S_00134_SMRY.csv,branch,2025,Stories Khaldeh,november,month,11,6744352.33
REP_S_00134_SMRY.csv,branch,2025,Stories Khaldeh,december,month,12,6874042.67
REP_S_00134_SMRY.csv,branch,2025,Stories Khaldeh,total_by_year,year_total,,84155611.99
REP_S_00134_SMRY.csv,branch,2025,Stories LAU,january,month,1,1832006.33
REP_S_00134_SMRY.csv,branch,2025,Stories LAU,february,month,2,1863050.33
REP_S_00134_SMRY.csv,branch,2025,Stories LAU,march,month,3,1859610.67
REP_S_00134_SMRY.csv,branch,2025,Stories LAU,april,month,4,2358631.33
REP_S_00134_SMRY.csv,branch,2025,Stories LAU,may,month,5,1206958.0
REP_S_00134_SMRY.csv,branch,2025,Stories LAU,june,month,6,398961.67
REP_S_00134_SMRY.csv,branch,2025,Stories LAU,july,month,7,1050186.19
REP_S_00134_SMRY.csv,branch,2025,Stories LAU,august,month,8,1683288.29
REP_S_00134_SMRY.csv,branch,2025,Stories LAU,september,month,9,627849.85
REP_S_00134_SMRY.csv,branch,2025,Stories LAU,october,month,10,1369579.58
REP_S_00134_SMRY.csv,branch,2025,Stories LAU,november,month,11,1173966.97
REP_S_00134_SMRY.csv,branch,2025,Stories LAU,december,month,12,619603.6
REP_S_00134_SMRY.csv,branch,2025,Stories LAU,total_by_year,year_total,,16043692.82
REP_S_00134_SMRY.csv,branch,2025,Stories Le Mall,january,month,1,3881015.0
REP_S_00134_SMRY.csv,branch,2025,Stories Le Mall,february,month,2,3772586.67
REP_S_00134_SMRY.csv,branch,2025,Stories Le Mall,march,month,3,4220770.0
REP_S_00134_SMRY.csv,branch,2025,Stories Le Mall,april,month,4,4428620.0
REP_S_00134_SMRY.csv,branch,2025,Stories Le Mall,may,month,5,2163876.67
REP_S_00134_SMRY.csv,branch,2025,Stories Le Mall,june,month,6,967783.33
REP_S_00134_SMRY.csv,branch,2025,Stories Le Mall,july,month,7,4986426.44
REP_S_00134_SMRY.csv,branch,2025,Stories Le Mall,august,month,8,5452825.84
REP_S_00134_SMRY.csv,branch,2025,Stories Le Mall,september,month,9,4201888.9
REP_S_00134_SMRY.csv,branch,2025,Stories Le Mall,october,month,10,3807124.33
REP_S_00134_SMRY.csv,branch,2025,Stories Le Mall,november,month,11,3984058.87
REP_S_00134_SMRY.csv,branch,2025,Stories Le Mall,december,month,12,5003540.55
REP_S_00134_SMRY.csv,branch,2025,Stories Le Mall,total_by_year,year_total,,46870516.59
REP_S_00134_SMRY.csv,branch,2025,Stories Mansourieh,january,month,1,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories Mansourieh,february,month,2,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories Mansourieh,march,month,3,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories Mansourieh,april,month,4,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories Mansourieh,may,month,5,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories Mansourieh,june,month,6,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories Mansourieh,july,month,7,193405.41
REP_S_00134_SMRY.csv,branch,2025,Stories Mansourieh,august,month,8,5928212.63
REP_S_00134_SMRY.csv,branch,2025,Stories Mansourieh,september,month,9,5813335.75
REP_S_00134_SMRY.csv,branch,2025,Stories Mansourieh,october,month,10,5978077.49
REP_S_00134_SMRY.csv,branch,2025,Stories Mansourieh,november,month,11,4888906.92
REP_S_00134_SMRY.csv,branch,2025,Stories Mansourieh,december,month,12,4198633.64
REP_S_00134_SMRY.csv,branch,2025,Stories Mansourieh,total_by_year,year_total,,27000571.83
REP_S_00134_SMRY.csv,branch,2025,Stories Ramlet El Bayda,january,month,1,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories Ramlet El Bayda,february,month,2,1570806.67
REP_S_00134_SMRY.csv,branch,2025,Stories Ramlet El Bayda,march,month,3,3588563.33
REP_S_00134_SMRY.csv,branch,2025,Stories Ramlet El Bayda,april,month,4,6011885.0
REP_S_00134_SMRY.csv,branch,2025,Stories Ramlet El Bayda,may,month,5,3542743.33
REP_S_00134_SMRY.csv,branch,2025,Stories Ramlet El Bayda,june,month,6,1445760.0
REP_S_00134_SMRY.csv,branch,2025,Stories Ramlet El Bayda,july,month,7,7427539.62
REP_S_00134_SMRY.csv,branch,2025,Stories Ramlet El Bayda,august,month,8,7668109.92
REP_S_00134_SMRY.csv,branch,2025,Stories Ramlet El Bayda,september,month,9,6585103.32
REP_S_00134_SMRY.csv,branch,2025,Stories Ramlet El Bayda,october,month,10,6435858.57
REP_S_00134_SMRY.csv,branch,2025,Stories Ramlet El Bayda,november,month,11,5863675.69
REP_S_00134_SMRY.csv,branch,2025,Stories Ramlet El Bayda,december,month,12,5944644.46
REP_S_00134_SMRY.csv,branch,2025,Stories Ramlet El Bayda,total_by_year,year_total,,56084689.92
REP_S_00134_SMRY.csv,branch,2025,Stories raouche,january,month,1,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories raouche,february,month,2,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories raouche,march,month,3,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories raouche,april,month,4,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories raouche,may,month,5,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories raouche,june,month,6,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories raouche,july,month,7,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories raouche,august,month,8,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories raouche,september,month,9,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories raouche,october,month,10,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories raouche,november,month,11,1740370.88
REP_S_00134_SMRY.csv,branch,2025,Stories raouche,december,month,12,2815825.84
REP_S_00134_SMRY.csv,branch,2025,Stories raouche,total_by_year,year_total,,4556196.71
REP_S_00134_SMRY.csv,branch,2025,Stories Saida,january,month,1,7263332.33
REP_S_00134_SMRY.csv,branch,2025,Stories Saida,february,month,2,5121351.33
REP_S_00134_SMRY.csv,branch,2025,Stories Saida,march,month,3,4684910.67
REP_S_00134_SMRY.csv,branch,2025,Stories Saida,april,month,4,6361154.33
REP_S_00134_SMRY.csv,branch,2025,Stories Saida,may,month,5,3010781.67
REP_S_00134_SMRY.csv,branch,2025,Stories Saida,june,month,6,1323360.0
REP_S_00134_SMRY.csv,branch,2025,Stories Saida,july,month,7,5939826.44
REP_S_00134_SMRY.csv,branch,2025,Stories Saida,august,month,8,5925560.98
REP_S_00134_SMRY.csv,branch,2025,Stories Saida,september,month,9,4245091.9
REP_S_00134_SMRY.csv,branch,2025,Stories Saida,october,month,10,3639435.44
REP_S_00134_SMRY.csv,branch,2025,Stories Saida,november,month,11,3665840.85
REP_S_00134_SMRY.csv,branch,2025,Stories Saida,december,month,12,3825643.86
REP_S_00134_SMRY.csv,branch,2025,Stories Saida,total_by_year,year_total,,55006289.81
REP_S_00134_SMRY.csv,branch,2025,Stories sin el fil,january,month,1,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories sin el fil,february,month,2,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories sin el fil,march,month,3,0.0
